date,sale
1399-05-30,384.0
1399-05-31,393.0
1399-06-01,414.0
1399-06-02,410.0
1399-06-03,398.0
1399-06-04,419.0
1399-06-05,438.0
1399-06-06,438.0
1399-06-07,420.0
1399-06-08,395.0
1399-06-09,372.0
1399-06-10,393.0
1399-06-11,389.0
1399-06-12,405.0
1399-06-13,428.0
1399-06-14,419.0
1399-06-15,404.0
1399-06-16,440.0
1399-06-17,471.0
1399-06-18,471.0
1399-06-19,453.0
1399-06-20,416.0
1399-06-21,387.0
1399-06-22,426.0
1399-06-23,434.0
1399-06-24,441.0
1399-06-25,483.0
1399-06-26,461.0
1399-06-27,474.0
1399-06-28,483.0
1399-06-29,515.0
1399-06-30,515.0
1399-06-31,492.0
1399-07-01,459.0
1399-07-02,435.0
1399-07-03,465.0
1399-07-04,473.0
1399-07-05,486.0
1399-07-06,506.0
1399-07-07,488.0
1399-07-08,491.0
1399-07-09,543.0
1399-07-10,561.0
1399-07-11,579.0
1399-07-12,530.0
1399-07-13,503.0
1399-07-14,474.0
1399-07-15,507.0
1399-07-16,510.0
1399-07-17,510.0
1399-07-18,360.0
1399-07-19,359.0
1399-07-20,353.0
1399-07-21,367.0
1399-07-22,388.0
1399-07-23,396.0
1399-07-24,361.0
1399-07-25,335.0
1399-07-26,304.0
1399-07-27,325.0
1399-07-28,328.0
1399-07-29,312.0
1399-07-30,359.0
1399-08-01,351.0
1399-08-02,358.0
1399-08-03,388.0
1399-08-04,426.0
1399-08-05,417.0
1399-08-06,383.0
1399-08-07,353.0
1399-08-08,327.0
1399-08-09,353.0
1399-08-10,366.0
1399-08-11,357.0
1399-08-12,391.0
1399-08-13,393.0
1399-08-14,394.0
1399-08-15,439.0
1399-08-16,488.0
1399-08-17,471.0
1399-08-18,436.0
1399-08-19,398.0
1399-08-20,361.0
1399-08-21,402.0
1399-08-22,408.0
1399-08-23,401.0
1399-08-24,441.0
1399-08-25,437.0
1399-08-26,442.0
1399-08-27,498.0
1399-08-28,537.0
1399-08-29,529.0
1399-08-30,479.0
1399-09-01,430.0
1399-09-02,395.0
1399-09-03,430.0
1399-09-04,439.0
1399-09-05,425.0
1399-09-06,480.0
1399-09-07,472.0
1399-09-08,299.0
1399-09-09,366.0
1399-09-10,409.0
1399-09-11,411.0
1399-09-12,348.0
1399-09-13,291.0
1399-09-14,249.0
1399-09-15,280.0
1399-09-16,284.0
1399-09-17,262.0
1399-09-18,306.0
1399-09-19,292.0
1399-09-20,307.0
1399-09-21,379.0
